Games,Cópias vendidas,Hours Played,Número de jogadores,_merge,Popularidade,Temp Med,Jogadores por cópias,index,slug,isMultiplayer
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),1,1.2,1.0,both,0.0052118621983634,1.2,1.0,0,1-dot-dot-dot-2-dot-dot-dot-3-dot-dot-dot-kick-it-drop-that-beat-like-an-ugly-baby,0.0
100% Orange Juice,2,4.9,2.0,both,0.0104237243967269,2.45,1.0,1,100-percent-orange-juice,0.0
12 Labours of Hercules,1,7.1,1.0,both,0.0052118621983634,7.1,1.0,2,12-labours-of-hercules,0.0
12 Labours of Hercules II The Cretan Bull,5,14.9,2.0,both,0.0260593109918173,7.449999999999999,0.4,3,12-labours-of-hercules-ii-the-cretan-bull,0.0
12 Labours of Hercules III Girl Power,2,0.0,0.0,left_only,0.0104237243967269,,0.0,4,12-labours-of-hercules-iii-girl-power,0.0
140,1,0.0,0.0,left_only,0.0052118621983634,,0.0,5,140,0.0
15 Days,1,0.5,1.0,both,0.0052118621983634,0.5,1.0,6,15-days,0.0
16 Bit Arena,2,0.0,0.0,left_only,0.0104237243967269,,0.0,7,16-bit-arena,0.0
16bit Trader,1,4.2,1.0,both,0.0052118621983634,4.2,1.0,8,16bit-trader,0.0
18 Wheels of Steel American Long Haul,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
3D Mini Golf,1,1.0,1.0,both,0.0052118621983634,1.0,1.0,10,3d-mini-golf,1.0
3DMark,5,41.5,5.0,both,0.0260593109918173,8.3,1.0,Soundrack/Skin/Bonus,0,
3DMark API Overhead feature test,5,0.0,0.0,left_only,0.0260593109918173,,0.0,Soundrack/Skin/Bonus,0,
3DMark Cloud Gate benchmark,5,0.0,0.0,left_only,0.0260593109918173,,0.0,Soundrack/Skin/Bonus,0,
3DMark Fire Strike benchmark,5,0.0,0.0,left_only,0.0260593109918173,,0.0,Soundrack/Skin/Bonus,0,
3DMark Ice Storm benchmark,5,0.0,0.0,left_only,0.0260593109918173,,0.0,Soundrack/Skin/Bonus,0,
3DMark Sky Diver benchmark,5,0.0,0.0,left_only,0.0260593109918173,,0.0,Soundrack/Skin/Bonus,0,
4 Elements,2,46.4,2.0,both,0.0104237243967269,23.2,1.0,17,4-elements,0.0
404Sight,1,0.5,1.0,both,0.0052118621983634,0.5,1.0,18,404sight,0.0
60 Seconds!,2,2.2,2.0,both,0.0104237243967269,1.1,1.0,19,60-seconds,0.0
7 Days to Die,19,972.8,15.0,both,0.099025381768906,64.85333333333332,0.7894736842105263,20,7-days-to-die,1.0
"7 Grand Steps, Step 1 What Ancients Begat",2,0.0,0.0,left_only,0.0104237243967269,,0.0,21,7-grand-steps-what-ancients-begat,0.0
8-Bit Commando,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
8BitBoy,3,0.0,0.0,left_only,0.0156355865950904,,0.0,23,8bitboy,0.0
8BitMMO,3,0.2,1.0,both,0.0156355865950904,0.2,0.3333333333333333,24,8bitmmo,1.0
9 Clues 2 The Ward,1,5.1,1.0,both,0.0052118621983634,5.1,1.0,25,9-clues-2-the-ward,0.0
9 Clues The Secret of Serpent Creek,3,7.8,3.0,both,0.0156355865950904,2.6,1.0,26,9-clues-the-secret-of-serpent-creek,0.0
99 Levels To Hell,1,0.0,0.0,left_only,0.0052118621983634,,0.0,27,99-levels-to-hell,0.0
A Bird Story,1,1.2,1.0,both,0.0052118621983634,1.2,1.0,28,a-bird-story,0.0
A Game of Thrones - Genesis,2,1.2,2.0,both,0.0104237243967269,0.6,1.0,29,a-game-of-thrones-genesis--1,1.0
A New Beginning - Final Cut,2,0.0,0.0,left_only,0.0104237243967269,,0.0,30,a-new-beginning-final-cut,0.0
A Story About My Uncle,3,0.0,0.0,left_only,0.0156355865950904,,0.0,31,a-story-about-my-uncle,0.0
A Virus Named TOM,5,12.8,4.0,both,0.0260593109918173,3.2,0.8,32,a-virus-named-tom,0.0
A Walk in the Dark,2,2.5,2.0,both,0.0104237243967269,1.25,1.0,33,a-walk-in-the-dark,0.0
A-Train 8,1,0.1,1.0,both,0.0052118621983634,0.1,1.0,34,a-train-8,0.0
A.R.E.S.,1,7.1,1.0,both,0.0052118621983634,7.1,1.0,35,a-dot-r-e-dot-s-extinction-agenda,0.0
A.V.A - Alliance of Valiant Arms,11,17.2,8.0,both,0.0573304841819982,2.15,0.7272727272727273,36,alliance-of-valiant-arms,1.0
ACE - Arena Cyber Evolution,4,0.2,1.0,both,0.0208474487934539,0.2,0.25,37,ace-arena-cyber-evolution,1.0
ACE COMBAT ASSAULT HORIZON Enhanced Edition,3,3.0,1.0,both,0.0156355865950904,3.0,0.3333333333333333,38,ace-combat-assault-horizon-enhanced-edition,1.0
AI War Fleet Command,4,1.1,1.0,both,0.0208474487934539,1.1,0.25,39,ai-war-fleet-command,0.0
ALLTYNEX Second,1,0.0,0.0,left_only,0.0052118621983634,,0.0,40,alltynex-second,1.0
APB Reloaded,34,722.0,18.0,both,0.1772033147443581,40.11111111111112,0.5294117647058824,41,apb-reloaded,1.0
ARK Survival Evolved,25,2330.8,25.0,both,0.1302965549590868,93.232,1.0,42,ark-survival-evolved,1.0
AaAaAA!!! - A Reckless Disregard for Gravity,1,5.3,1.0,both,0.0052118621983634,5.3,1.0,43,aaaaaaaaaaaaaaaaaaaaaaaaa-a-reckless-disregard-for-gravity,0.0
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,1,0.4,1.0,both,0.0052118621983634,0.4,1.0,44,aaaaaaaaaaaaaaaaaaaaaaaaa-for-the-awesome,0.0
Aberoth,1,0.6,1.0,both,0.0052118621983634,0.6,1.0,45,aberoth,0.0
Absconding Zatwor,2,0.0,0.0,left_only,0.0104237243967269,,0.0,46,absconding-zatwor,0.0
Absolute Drift,2,2.9,2.0,both,0.0104237243967269,1.45,1.0,47,absolute-drift,0.0
Abyss Odyssey,5,3.8,2.0,both,0.0260593109918173,1.9,0.4,48,abyss-odyssey,0.0
Abyss The Wraiths of Eden,1,6.8,1.0,both,0.0052118621983634,6.8,1.0,49,abyss-the-wraiths-of-eden,0.0
Ace of Spades,12,80.8,11.0,both,0.0625423463803617,7.345454545454545,0.9166666666666666,50,ace-of-spades-battle-builder--1,1.0
Aces Wild Manic Brawling Action!,1,0.0,0.0,left_only,0.0052118621983634,,0.0,51,aces-wild-manic-brawling-action,0.0
Achron,1,0.3,1.0,both,0.0052118621983634,0.3,1.0,52,achron,0.0
AdVenture Capitalist,32,867.0,24.0,both,0.1667795903476312,36.125,0.75,53,adventure-capitalist,0.0
Adventurer Manager,1,0.0,0.0,left_only,0.0052118621983634,,0.0,54,adventurer-manager,0.0
Adventures of Bertram Fiddle Episode 1 A Dreadly Business,1,1.7,1.0,both,0.0052118621983634,1.7,1.0,55,the-adventures-of-bertram-fiddle-episode-1-a-dreadly-business,0.0
Adventures of Shuggy,3,0.0,0.0,left_only,0.0156355865950904,,0.0,56,the-adventures-of-shuggy,0.0
Aeon Command,1,0.3,1.0,both,0.0052118621983634,0.3,1.0,57,aeon-command,0.0
Aerena,3,1.0,1.0,both,0.0156355865950904,1.0,0.3333333333333333,58,aerena-clash-of-champions,1.0
Afterfall InSanity Extended Edition,9,7.2,5.0,both,0.0469067597852712,1.44,0.5555555555555556,59,afterfall-insanity-extended-edition,1.0
Afterlife Empire,1,0.2,1.0,both,0.0052118621983634,0.2,1.0,60,afterlife-empire,0.0
Aftermath,8,8.200000000000001,5.0,both,0.0416948975869078,1.64,0.625,61,aftermath--1,1.0
Agarest - Basic Adventure Pack DLC,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Agarest - Dull-Things Pack DLC,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Agarest - Fallen Angel Pack DLC,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Agarest - Legendary-Monster Pack DLC,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Agarest - Magic Fight Pack DLC,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Agarest - Upgrade Pack 1 DLC,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Agarest Generations of War,4,59.0,2.0,both,0.0208474487934539,29.5,0.5,68,agarest-generations-of-war,0.0
Agarest Generations of War Premium Edition Upgrade,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Agarest Zero,1,3.8,1.0,both,0.0052118621983634,3.8,1.0,70,record-of-agarest-war-zero,0.0
Age of Booty,2,0.0,0.0,left_only,0.0104237243967269,,0.0,71,age-of-booty,0.0
Age of Chivalry,9,14.8,9.0,both,0.0469067597852712,1.6444444444444444,1.0,72,age-of-chivalry,1.0
Age of Conan Unchained - EU version,1,4.1,1.0,both,0.0052118621983634,4.1,1.0,73,age-of-conan-unchained,0.0
Age of Empires II HD Edition,30,520.5,23.0,both,0.1563558659509042,22.630434782608692,0.7666666666666667,74,age-of-empires-ii-hd-edition,0.0
Age of Empires II HD The Forgotten,15,0.0,0.0,left_only,0.0781779329754521,,0.0,Soundrack/Skin/Bonus,0,
Age of Empires III Complete Collection,19,392.4,15.0,both,0.099025381768906,26.16,0.7894736842105263,76,age-of-empires-iii-complete-collection,0.0
Age of Empires Online,5,8.5,1.0,both,0.0260593109918173,8.5,0.2,77,age-of-empires-online,1.0
Age of Mythology Extended Edition,4,40.6,3.0,both,0.0208474487934539,13.533333333333331,0.75,78,age-of-mythology-extended-edition,0.0
Age of Wonders,2,1.8,1.0,both,0.0104237243967269,1.8,0.5,79,age-of-wonders,0.0
Age of Wonders 2,2,0.0,0.0,left_only,0.0104237243967269,,0.0,80,age-of-wonders-ii-the-wizard-s-throne,0.0
Age of Wonders III,4,174.9,4.0,both,0.0208474487934539,43.725,1.0,81,age-of-wonders-iii,0.0
Age of Wonders Shadow Magic,3,0.0,0.0,left_only,0.0156355865950904,,0.0,82,age-of-wonders-shadow-magic,0.0
Age of Wonders Trilogy Soundtrack,1,0.0,0.0,left_only,0.0052118621983634,,0.0,Soundrack/Skin/Bonus,0,
Aggression Europe Under Fire,1,0.0,0.0,left_only,0.0052118621983634,,0.0,84,aggression-europe-under-fire,0.0
Aion,2,0.0,0.0,left_only,0.0104237243967269,,0.0,85,aion,1.0
Air Brawl,1,0.5,1.0,both,0.0052118621983634,0.5,1.0,86,air-brawl,0.0
AirBuccaneers,4,0.2,1.0,both,0.0208474487934539,0.2,0.25,87,airbuccaneers,1.0
AirMech,10,65.3,6.0,both,0.0521186219836347,10.883333333333333,0.6,88,airmech-strike,1.0
Airline Tycoon 2,1,6.7,1.0,both,0.0052118621983634,6.7,1.0,89,airline-tycoon-2,0.0
Alan Wake,21,72.6,10.0,both,0.1094491061656329,7.26,0.4761904761904761,90,alan-wake,1.0
Alan Wake's American Nightmare,12,12.7,3.0,both,0.0625423463803617,4.233333333333333,0.25,91,alan-wake-s-american-nightmare,1.0
