Games,Cópias vendidas,Hours Played,Número de jogadores,_merge,Popularidade,Temp Med,Jogadores por cópias
1... 2... 3... KICK IT! (Drop That Beat Like an Ugly Baby),1,1.2,1.0,both,0.005211862198363475,1.2,1.0
100% Orange Juice,2,4.9,2.0,both,0.01042372439672695,2.45,1.0
12 Labours of Hercules,1,7.1,1.0,both,0.005211862198363475,7.1,1.0
12 Labours of Hercules II The Cretan Bull,5,14.899999999999999,2.0,both,0.026059310991817377,7.449999999999999,0.4
12 Labours of Hercules III Girl Power,2,0.0,0.0,left_only,0.01042372439672695,,0.0
140,1,0.0,0.0,left_only,0.005211862198363475,,0.0
15 Days,1,0.5,1.0,both,0.005211862198363475,0.5,1.0
16 Bit Arena,2,0.0,0.0,left_only,0.01042372439672695,,0.0
16bit Trader,1,4.2,1.0,both,0.005211862198363475,4.2,1.0
18 Wheels of Steel American Long Haul,1,0.0,0.0,left_only,0.005211862198363475,,0.0
3D Mini Golf,1,1.0,1.0,both,0.005211862198363475,1.0,1.0
3DMark,5,41.5,5.0,both,0.026059310991817377,8.3,1.0
3DMark API Overhead feature test,5,0.0,0.0,left_only,0.026059310991817377,,0.0
3DMark Cloud Gate benchmark,5,0.0,0.0,left_only,0.026059310991817377,,0.0
3DMark Fire Strike benchmark,5,0.0,0.0,left_only,0.026059310991817377,,0.0
3DMark Ice Storm benchmark,5,0.0,0.0,left_only,0.026059310991817377,,0.0
3DMark Sky Diver benchmark,5,0.0,0.0,left_only,0.026059310991817377,,0.0
4 Elements,2,46.4,2.0,both,0.01042372439672695,23.2,1.0
404Sight,1,0.5,1.0,both,0.005211862198363475,0.5,1.0
60 Seconds!,2,2.2,2.0,both,0.01042372439672695,1.1,1.0
7 Days to Die,19,972.8,15.0,both,0.09902538176890603,64.85333333333332,0.7894736842105263
"7 Grand Steps, Step 1 What Ancients Begat",2,0.0,0.0,left_only,0.01042372439672695,,0.0
8-Bit Commando,1,0.0,0.0,left_only,0.005211862198363475,,0.0
8BitBoy,3,0.0,0.0,left_only,0.015635586595090425,,0.0
8BitMMO,3,0.2,1.0,both,0.015635586595090425,0.2,0.3333333333333333
9 Clues 2 The Ward,1,5.1,1.0,both,0.005211862198363475,5.1,1.0
9 Clues The Secret of Serpent Creek,3,7.8,3.0,both,0.015635586595090425,2.6,1.0
99 Levels To Hell,1,0.0,0.0,left_only,0.005211862198363475,,0.0
A Bird Story,1,1.2,1.0,both,0.005211862198363475,1.2,1.0
A Game of Thrones - Genesis,2,1.2,2.0,both,0.01042372439672695,0.6,1.0
A New Beginning - Final Cut,2,0.0,0.0,left_only,0.01042372439672695,,0.0
A Story About My Uncle,3,0.0,0.0,left_only,0.015635586595090425,,0.0
A Virus Named TOM,5,12.8,4.0,both,0.026059310991817377,3.2,0.8
A Walk in the Dark,2,2.5,2.0,both,0.01042372439672695,1.25,1.0
A-Train 8,1,0.1,1.0,both,0.005211862198363475,0.1,1.0
A.R.E.S.,1,7.1,1.0,both,0.005211862198363475,7.1,1.0
A.V.A - Alliance of Valiant Arms,11,17.2,8.0,both,0.05733048418199823,2.15,0.7272727272727273
ACE - Arena Cyber Evolution,4,0.2,1.0,both,0.0208474487934539,0.2,0.25
ACE COMBAT ASSAULT HORIZON Enhanced Edition,3,3.0,1.0,both,0.015635586595090425,3.0,0.3333333333333333
AI War Fleet Command,4,1.1,1.0,both,0.0208474487934539,1.1,0.25
ALLTYNEX Second,1,0.0,0.0,left_only,0.005211862198363475,,0.0
APB Reloaded,34,722.0,18.0,both,0.17720331474435816,40.111111111111114,0.5294117647058824
ARK Survival Evolved,25,2330.8,25.0,both,0.13029655495908687,93.23200000000001,1.0
AaAaAA!!! - A Reckless Disregard for Gravity,1,5.3,1.0,both,0.005211862198363475,5.3,1.0
AaaaaAAaaaAAAaaAAAAaAAAAA!!! for the Awesome,1,0.4,1.0,both,0.005211862198363475,0.4,1.0
Aberoth,1,0.6,1.0,both,0.005211862198363475,0.6,1.0
Absconding Zatwor,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Absolute Drift,2,2.9,2.0,both,0.01042372439672695,1.45,1.0
Abyss Odyssey,5,3.8000000000000003,2.0,both,0.026059310991817377,1.9000000000000001,0.4
Abyss The Wraiths of Eden,1,6.8,1.0,both,0.005211862198363475,6.8,1.0
Ace of Spades,12,80.8,11.0,both,0.0625423463803617,7.345454545454545,0.9166666666666666
Aces Wild Manic Brawling Action!,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Achron,1,0.3,1.0,both,0.005211862198363475,0.3,1.0
AdVenture Capitalist,32,867.0,24.0,both,0.1667795903476312,36.125,0.75
Adventurer Manager,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Adventures of Bertram Fiddle Episode 1 A Dreadly Business,1,1.7,1.0,both,0.005211862198363475,1.7,1.0
Adventures of Shuggy,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Aeon Command,1,0.3,1.0,both,0.005211862198363475,0.3,1.0
Aerena,3,1.0,1.0,both,0.015635586595090425,1.0,0.3333333333333333
Afterfall InSanity Extended Edition,9,7.2,5.0,both,0.04690675978527128,1.44,0.5555555555555556
Afterlife Empire,1,0.2,1.0,both,0.005211862198363475,0.2,1.0
Aftermath,8,8.200000000000001,5.0,both,0.0416948975869078,1.6400000000000001,0.625
Agarest - Basic Adventure Pack DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Agarest - Dull-Things Pack DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Agarest - Fallen Angel Pack DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Agarest - Legendary-Monster Pack DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Agarest - Magic Fight Pack DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Agarest - Upgrade Pack 1 DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Agarest Generations of War,4,59.0,2.0,both,0.0208474487934539,29.5,0.5
Agarest Generations of War Premium Edition Upgrade,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Agarest Zero,1,3.8,1.0,both,0.005211862198363475,3.8,1.0
Age of Booty,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Age of Chivalry,9,14.799999999999999,9.0,both,0.04690675978527128,1.6444444444444444,1.0
Age of Conan Unchained - EU version,1,4.1,1.0,both,0.005211862198363475,4.1,1.0
Age of Empires II HD Edition,30,520.5,23.0,both,0.15635586595090425,22.630434782608695,0.7666666666666667
Age of Empires II HD The Forgotten,15,0.0,0.0,left_only,0.07817793297545213,,0.0
Age of Empires III Complete Collection,19,392.4,15.0,both,0.09902538176890603,26.16,0.7894736842105263
Age of Empires Online,5,8.5,1.0,both,0.026059310991817377,8.5,0.2
Age of Mythology Extended Edition,4,40.6,3.0,both,0.0208474487934539,13.533333333333333,0.75
Age of Wonders,2,1.8,1.0,both,0.01042372439672695,1.8,0.5
Age of Wonders 2,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Age of Wonders III,4,174.9,4.0,both,0.0208474487934539,43.725,1.0
Age of Wonders Shadow Magic,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Age of Wonders Trilogy Soundtrack,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Aggression Europe Under Fire,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Aion,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Air Brawl,1,0.5,1.0,both,0.005211862198363475,0.5,1.0
AirBuccaneers,4,0.2,1.0,both,0.0208474487934539,0.2,0.25
AirMech,10,65.3,6.0,both,0.052118621983634754,10.883333333333333,0.6
Airline Tycoon 2,1,6.7,1.0,both,0.005211862198363475,6.7,1.0
Alan Wake,21,72.6,10.0,both,0.10944910616563297,7.26,0.47619047619047616
Alan Wake's American Nightmare,12,12.700000000000001,3.0,both,0.0625423463803617,4.233333333333333,0.25
Alchemy Mysteries Prague Legends,3,8.399999999999999,2.0,both,0.015635586595090425,4.199999999999999,0.6666666666666666
Alex Hunter - Lord of the Mind,1,2.7,1.0,both,0.005211862198363475,2.7,1.0
Alice Madness Returns,12,57.1,8.0,both,0.0625423463803617,7.1375,0.6666666666666666
Alien Breed 2 Assault,6,0.6,1.0,both,0.03127117319018085,0.6,0.16666666666666666
Alien Breed 3 Descent,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Alien Breed Impact,3,2.2,1.0,both,0.015635586595090425,2.2,0.3333333333333333
Alien Hallway,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Alien Isolation,7,42.4,5.0,both,0.036483035388544326,8.48,0.7142857142857143
Alien Shooter,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Alien Shooter 2 Conscription,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Alien Shooter 2 Reloaded,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Alien Shooter Vengeance,1,4.5,1.0,both,0.005211862198363475,4.5,1.0
Alien Swarm,47,277.1,47.0,both,0.24495752332308335,5.895744680851064,1.0
Aliens Colonial Marines,3,19.1,3.0,both,0.015635586595090425,6.366666666666667,1.0
Aliens versus Predator Classic 2000,1,1.5,1.0,both,0.005211862198363475,1.5,1.0
Aliens vs. Predator,14,33.6,9.0,both,0.07296607077708865,3.7333333333333334,0.6428571428571429
All Is Dust,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Alone in the Dark,1,0.4,1.0,both,0.005211862198363475,0.4,1.0
Alpha Kimori Episode One ,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Alpha Prime,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Alpha Protocol,4,2.3,2.0,both,0.0208474487934539,1.15,0.5
Alter Ego,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Altitude,6,4.5,1.0,both,0.03127117319018085,4.5,0.16666666666666666
Always Sometimes Monsters,6,10.9,4.0,both,0.03127117319018085,2.725,0.6666666666666666
Amazing Adventures Around the World,1,12.0,1.0,both,0.005211862198363475,12.0,1.0
Amazing Adventures The Lost Tomb,1,3.3,1.0,both,0.005211862198363475,3.3,1.0
Amazing World,4,2.4,2.0,both,0.0208474487934539,1.2,0.5
America's Army 3,5,25.0,1.0,both,0.026059310991817377,25.0,0.2
America's Army Proving Grounds,17,1146.1,9.0,both,0.08860165737217908,127.34444444444443,0.5294117647058824
Amerzone The Explorer's Legacy,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Amnesia A Machine for Pigs,7,14.5,5.0,both,0.036483035388544326,2.9,0.7142857142857143
Amnesia The Dark Descent,35,80.1,19.0,both,0.18241517694272164,4.21578947368421,0.5428571428571428
Among Ripples,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Among the Sleep,1,0.5,1.0,both,0.005211862198363475,0.5,1.0
An Alternative Reality The Football Manager Documentary,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Anachronox,3,0.0,0.0,left_only,0.015635586595090425,,0.0
Analogue A Hate Story,2,10.2,1.0,both,0.01042372439672695,10.2,0.5
Anarchy Arcade,4,5.0,3.0,both,0.0208474487934539,1.6666666666666667,0.75
Ancient Space,1,0.0,0.0,left_only,0.005211862198363475,,0.0
And Yet It Moves,8,4.8999999999999995,3.0,both,0.0416948975869078,1.633333333333333,0.375
Angels Fall First,2,11.4,2.0,both,0.01042372439672695,5.7,1.0
Angry Birds Space,1,2.7,1.0,both,0.005211862198363475,2.7,1.0
Angry Video Game Nerd Adventures,3,8.5,3.0,both,0.015635586595090425,2.8333333333333335,1.0
Anna - Extended Edition,1,1.9,1.0,both,0.005211862198363475,1.9,1.0
Anno 1404,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Anno 1404 Venice,1,0.4,1.0,both,0.005211862198363475,0.4,1.0
Anno 2070,8,75.8,8.0,both,0.0416948975869078,9.475,1.0
Anno Online,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Anodyne,4,7.5,2.0,both,0.0208474487934539,3.75,0.5
Anomaly 2,1,0.6,1.0,both,0.005211862198363475,0.6,1.0
Anomaly Korea,2,0.9,1.0,both,0.01042372439672695,0.9,0.5
Anomaly Warzone Earth,6,26.2,5.0,both,0.03127117319018085,5.24,0.8333333333333334
Another World,2,1.7,1.0,both,0.01042372439672695,1.7,0.5
Anoxemia,2,6.0,1.0,both,0.01042372439672695,6.0,0.5
Antichamber,10,36.9,8.0,both,0.052118621983634754,4.6125,0.8
Apotheon,1,0.3,1.0,both,0.005211862198363475,0.3,1.0
App Game Kit,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Aquaria,6,0.0,0.0,left_only,0.03127117319018085,,0.0
Arcane Saga Online,2,0.0,0.0,left_only,0.01042372439672695,,0.0
ArcaniA,4,0.3,1.0,both,0.0208474487934539,0.3,0.25
ArcheAge,10,183.2,6.0,both,0.052118621983634754,30.53333333333333,0.6
ArcheAge Silver Founders Pack,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Archeblade,19,63.4,9.0,both,0.09902538176890603,7.044444444444444,0.47368421052631576
Arctic Combat,3,17.2,1.0,both,0.015635586595090425,17.2,0.3333333333333333
Arena Wars 2,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Arma 2,42,102.1,28.0,both,0.21889821233126594,3.6464285714285714,0.6666666666666666
Arma 2 British Armed Forces,12,0.0,0.0,left_only,0.0625423463803617,,0.0
Arma 2 DayZ Mod,19,8.4,9.0,both,0.09902538176890603,0.9333333333333333,0.47368421052631576
Arma 2 Free,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Arma 2 Operation Arrowhead,38,1103.7,32.0,both,0.19805076353781206,34.490625,0.8421052631578947
Arma 2 Operation Arrowhead Beta (Obsolete),38,9.8,8.0,both,0.19805076353781206,1.225,0.21052631578947367
Arma 2 Private Military Company,12,1.0,3.0,both,0.0625423463803617,0.3333333333333333,0.25
Arma 3,25,5440.2,25.0,both,0.13029655495908687,217.608,1.0
Arma 3 Helicopters,5,0.0,0.0,left_only,0.026059310991817377,,0.0
Arma 3 Karts,7,0.0,0.0,left_only,0.036483035388544326,,0.0
Arma 3 Marksmen,7,0.0,0.0,left_only,0.036483035388544326,,0.0
Arma 3 Zeus,25,0.0,0.0,left_only,0.13029655495908687,,0.0
Arma Cold War Assault,11,0.5,2.0,both,0.05733048418199823,0.25,0.18181818181818182
ArtRage Studio Pro,1,9.3,1.0,both,0.005211862198363475,9.3,1.0
Artemis Spaceship Bridge Simulator,1,1.8,1.0,both,0.005211862198363475,1.8,1.0
Ascend Hand of Kul,4,4.9,1.0,both,0.0208474487934539,4.9,0.25
Assassin's Creed,8,75.5,6.0,both,0.0416948975869078,12.583333333333334,0.75
Assassin's Creed Brotherhood,12,191.7,8.0,both,0.0625423463803617,23.9625,0.6666666666666666
Assassin's Creed Freedom Cry,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Assassin's Creed II,17,322.0,13.0,both,0.08860165737217908,24.76923076923077,0.7647058823529411
Assassin's Creed III,10,388.2,8.0,both,0.052118621983634754,48.525,0.8
Assassin's Creed IV Black Flag,9,537.6,8.0,both,0.04690675978527128,67.2,0.8888888888888888
Assassin's Creed Liberation,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Assassin's Creed Revelations,10,49.8,4.0,both,0.052118621983634754,12.45,0.4
Assassin's Creed Syndicate,1,16.4,1.0,both,0.005211862198363475,16.4,1.0
Assassins Creed Chronicles China,3,6.6,1.0,both,0.015635586595090425,6.6,0.3333333333333333
Assassins Creed Unity,5,28.1,4.0,both,0.026059310991817377,7.025,0.8
Assetto Corsa,2,53.9,2.0,both,0.01042372439672695,26.95,1.0
Astebreed,2,0.8,2.0,both,0.01042372439672695,0.4,1.0
Asteroids Outpost,1,0.3,1.0,both,0.005211862198363475,0.3,1.0
AstroPop Deluxe,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Atlantica Online,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Atom Zombie Smasher ,5,14.7,5.0,both,0.026059310991817377,2.94,1.0
Audiosurf,15,143.1,10.0,both,0.07817793297545213,14.309999999999999,0.6666666666666666
Audiosurf 2,1,1.7,1.0,both,0.005211862198363475,1.7,1.0
Audition Online,4,8.2,1.0,both,0.0208474487934539,8.2,0.25
Aura Fate of the Ages,1,8.4,1.0,both,0.005211862198363475,8.4,1.0
Aura Kingdom,15,37.8,4.0,both,0.07817793297545213,9.45,0.26666666666666666
Autobahn Police Simulator,1,0.8,1.0,both,0.005211862198363475,0.8,1.0
Avadon 2 The Corruption,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Avadon The Black Fortress,1,0.1,1.0,both,0.005211862198363475,0.1,1.0
Avencast,2,0.0,0.0,left_only,0.01042372439672695,,0.0
Aveyond 3-1 Lord of Twilight,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Awesomenauts,16,88.39999999999999,12.0,both,0.0833897951738156,7.366666666666666,0.75
Axiom Verge,1,14.6,1.0,both,0.005211862198363475,14.6,1.0
Axis Game Factory's AGFPRO - Drone Kombat FPS Multi-Player DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Axis Game Factory's AGFPRO - Zombie Survival Pack DLC,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Axis Game Factory's AGFPRO 3.0,1,0.0,0.0,left_only,0.005211862198363475,,0.0
BEEP,4,4.2,1.0,both,0.0208474487934539,4.2,0.25
BIT.TRIP BEAT,2,2.5,2.0,both,0.01042372439672695,1.25,1.0
BIT.TRIP Presents... Runner2 Future Legend of Rhythm Alien,5,2.0,3.0,both,0.026059310991817377,0.6666666666666666,0.6
BIT.TRIP RUNNER,12,20.8,8.0,both,0.0625423463803617,2.6,0.6666666666666666
BLOCKADE 3D,32,116.8,20.0,both,0.1667795903476312,5.84,0.625
BRINK,8,3.9,4.0,both,0.0416948975869078,0.975,0.5
Back to Bed,1,0.0,0.0,left_only,0.005211862198363475,,0.0
Back to Dinosaur Island ,4,0.0,0.0,left_only,0.0208474487934539,,0.0
Back to the Future Ep 1 - It's About Time,2,2.9,1.0,both,0.01042372439672695,2.9,0.5
Back to the Future Ep 2 - Get Tannen!,2,3.6,1.0,both,0.01042372439672695,3.6,0.5
