index,slug,isMultiplayer
0,1-dot-dot-dot-2-dot-dot-dot-3-dot-dot-dot-kick-it-drop-that-beat-like-an-ugly-baby,0
1,100-percent-orange-juice,0
2,12-labours-of-hercules,0
3,12-labours-of-hercules-ii-the-cretan-bull,0
4,12-labours-of-hercules-iii-girl-power,0
5,140,0
6,15-days,0
7,16-bit-arena,0
8,16bit-trader,0
Soundrack/Skin/Bonus,0
10,3d-mini-golf,1
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
17,4-elements,0
18,404sight,0
19,60-seconds,0
20,7-days-to-die,1
21,7-grand-steps-what-ancients-begat,0
Soundrack/Skin/Bonus,0
23,8bitboy,0
24,8bitmmo,1
25,9-clues-2-the-ward,0
26,9-clues-the-secret-of-serpent-creek,0
27,99-levels-to-hell,0
28,a-bird-story,0
29,a-game-of-thrones-genesis--1,1
30,a-new-beginning-final-cut,0
31,a-story-about-my-uncle,0
32,a-virus-named-tom,0
33,a-walk-in-the-dark,0
34,a-train-8,0
35,a-dot-r-e-dot-s-extinction-agenda,0
36,alliance-of-valiant-arms,1
37,ace-arena-cyber-evolution,1
38,ace-combat-assault-horizon-enhanced-edition,1
39,ai-war-fleet-command,0
40,alltynex-second,1
41,apb-reloaded,1
42,ark-survival-evolved,1
43,aaaaaaaaaaaaaaaaaaaaaaaaa-a-reckless-disregard-for-gravity,0
44,aaaaaaaaaaaaaaaaaaaaaaaaa-for-the-awesome,0
45,aberoth,0
46,absconding-zatwor,0
47,absolute-drift,0
48,abyss-odyssey,0
49,abyss-the-wraiths-of-eden,0
50,ace-of-spades-battle-builder--1,1
51,aces-wild-manic-brawling-action,0
52,achron,0
53,adventure-capitalist,0
54,adventurer-manager,0
55,the-adventures-of-bertram-fiddle-episode-1-a-dreadly-business,0
56,the-adventures-of-shuggy,0
57,aeon-command,0
58,aerena-clash-of-champions,1
59,afterfall-insanity-extended-edition,1
60,afterlife-empire,0
61,aftermath--1,1
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
68,agarest-generations-of-war,0
Soundrack/Skin/Bonus,0
70,record-of-agarest-war-zero,0
71,age-of-booty,0
72,age-of-chivalry,1
73,age-of-conan-unchained,0
74,age-of-empires-ii-hd-edition,0
Soundrack/Skin/Bonus,0
76,age-of-empires-iii-complete-collection,0
77,age-of-empires-online,1
78,age-of-mythology-extended-edition,0
79,age-of-wonders,0
80,age-of-wonders-ii-the-wizard-s-throne,0
81,age-of-wonders-iii,0
82,age-of-wonders-shadow-magic,0
Soundrack/Skin/Bonus,0
84,aggression-europe-under-fire,0
85,aion,1
86,air-brawl,0
87,airbuccaneers,1
88,airmech-strike,1
89,airline-tycoon-2,0
90,alan-wake,1
91,alan-wake-s-american-nightmare,1
92,alchemy-mysteries-prague-legends,0
93,alex-hunter-lord-of-the-mind,0
94,alice-madness-returns,0
95,alien-breed-2-assault,1
96,alien-breed-3-descent,1
97,alien-breed-impact,1
98,alien-hallway,0
99,alien-isolation,0
100,alien-shooter,1
101,alien-shooter-2-conscription,1
102,alien-shooter-2-reloaded,0
103,alien-shooter-vengeance,1
104,alien-swarm,1
105,aliens-colonial-marines,1
106,aliens-versus-predator-classic-2000,1
107,aliens-vs-predator,1
108,all-is-dust,0
109,alone-in-the-dark,0
110,alpha-kimori-great-doubt-episode-one,0
111,alpha-prime,1
112,alpha-protocol,1
113,alter-ego,0
114,altitude,1
115,always-sometimes-monsters,0
116,amazing-adventures-around-the-world,0
117,amazing-adventures-the-lost-tomb,0
118,amazing-world,0
119,americas-army-3,1
120,americas-army-proving-grounds,1
121,amerzone-the-explorers-legacy,0
122,amnesia-a-machine-for-pigs,0
123,amnesia-the-dark-descent,0
124,among-ripples,0
125,among-the-sleep,0
Soundrack/Skin/Bonus,0
127,anachronox,0
128,analogue-a-hate-story,0
129,anarchy-arcade,1
130,ancient-space--1,0
131,and-yet-it-moves--1,0
132,angels-fall-first,1
133,angry-birds-space,0
134,angry-video-game-nerd-adventures,1
135,anna-extended-edition,0
136,anno-1404,0
137,anno-1404-venice,1
138,anno-2070,1
139,anno-online,0
140,anodyne,0
141,anomaly-2,0
142,anomaly-korea,0
143,anomaly-warzone-earth,0
144,another-world,0
145,anoxemia,0
146,antichamber,0
147,apotheon,0
Soundrack/Skin/Bonus,0
149,aquaria,0
150,arcane-saga-online,1
Soundrack/Skin/Bonus,0
152,archeage,1
Soundrack/Skin/Bonus,0
154,archeblade,1
155,arctic-combat,1
156,arena-wars-2,0
157,arma-2,1
158,arma-2-british-armed-forces,1
159,arma-ii-dayz,1
160,arma-ii-free,0
161,arma-2-operation-arrowhead,1
Soundrack/Skin/Bonus,0
163,arma-2-private-military-company,1
164,arma-3,1
165,arma-3-helicopters,0
166,arma-3-karts,1
167,arma-3-marksmen--1,1
168,arma-3-zeus,0
169,arma-cold-war-assault,1
Soundrack/Skin/Bonus,0
171,artemis-spaceship-bridge-simulator,0
172,ascend-hand-of-kul,0
173,assassin-s-creed,0
174,assassins-creed-brotherhood--1,0
Soundrack/Skin/Bonus,0
176,assassins-creed-ii,0
177,assassin-s-creed-iii,0
178,assassins-creed-iv-black-flag,1
179,assassin-s-creed-iii-liberation,0
180,assassins-creed-revelations,0
181,assassins-creed-syndicate,0
182,assassins-creed-chronicles-china--1,0
183,assassins-creed-unity,0
184,assetto-corsa,0
185,astebreed,1
186,asteroids-outpost,0
187,astropop-deluxe,0
188,atlantica-online,1
189,atom-zombie-smasher,0
190,audiosurf,0
191,audiosurf-2,0
192,audition-online--1,0
193,aura-fate-of-the-ages,0
194,aura-kingdom,1
195,autobahn-police-simulator,0
196,avadon-2-the-corruption,0
197,avadon-the-black-fortress,0
198,avencast-rise-of-the-mage,0
199,aveyond-3-1-lord-of-twilight,0
200,awesomenauts,1
201,axiom-verge,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
Soundrack/Skin/Bonus,0
205,beep,0
