user_id,creationDate,years
31084585,"July 23rd, 2007",9
54103616,"October 8th, 2009",7
102825821,"May 6th, 2012",4
215160630,"January 23rd, 2015",1
131940023,"May 22nd, 2013",3
107377573,"July 20th, 2012",4
70970228,"September 29th, 2010",6
158476996,"December 20th, 2013",3
8542204,"September 9th, 2004",12
43360645,"December 5th, 2008",8
24011187,"August 14th, 2006",10
11403772,"December 10th, 2004",12
254814380,"March 3rd, 2015",1
211925330,"January 4th, 2015",1
115396529,"November 13th, 2012",4
65420540,"May 20th, 2010",6
76420334,"January 11th, 2011",5
39082468,"June 17th, 2008",8
48239695,"April 1st, 2009",7
60217594,"January 29th, 2010",6
87071236,"August 21st, 2011",5
82020006,"May 23rd, 2011",5
81585721,"May 14th, 2011",5
64350600,"May 3rd, 2010",6
107886872,"July 27th, 2012",4
42928788,"November 23rd, 2008",8
86338111,"August 9th, 2011",5
74232403,"December 3rd, 2010",6
92914917,"November 23rd, 2011",5
32498610,"September 20th, 2007",9
49767455,"May 17th, 2009",7
61676491,"March 4th, 2010",6
157469247,"December 11th, 2013",3
122803519,"February 2nd, 2013",3
49350285,"May 3rd, 2009",7
31727716,"August 18th, 2007",9
117129725,"December 2nd, 2012",4
242242432,"December 26th, 2014",2
106760673,"July 12th, 2012",4
142183287,"August 12th, 2013",3
120725727,"January 9th, 2013",3
151397156,"October 21st, 2013",3
62317148,"March 17th, 2010",6
138570935,"July 19th, 2013",3
79411077,"March 22nd, 2011",5
167106826,"February 22nd, 2014",2
83420834,"June 22nd, 2011",5
87832209,"September 4th, 2011",5
57798235,"December 16th, 2009",7
159777976,"December 26th, 2013",3
57433226,"December 7th, 2009",7
174415183,"April 26th, 2014",2
193156880,"September 6th, 2014",2
80164199,"April 10th, 2011",5
131032344,"May 12th, 2013",3
217709850,"February 6th, 2015",1
26430231,"December 14th, 2006",10
28064589,"February 22nd, 2007",9
234108053,"April 30th, 2015",1
120116659,"January 2nd, 2013",3
134967717,"June 22nd, 2013",3
35729292,"January 20th, 2008",8
35009482,"December 26th, 2007",9
194670621,"September 17th, 2014",2
211544205,"January 2nd, 2015",1
80386506,"April 15th, 2011",5
182422786,"June 29th, 2014",2
31733654,"August 18th, 2007",9
249232725,"July 28th, 2015",1
121360145,"January 17th, 2013",3
297279953,"October 28th, 2015",1
112110682,"September 26th, 2012",4
199693353,"October 22nd, 2014",2
48845802,"April 17th, 2009",7
48058475,"March 27th, 2009",7
140954425,"August 2nd, 2013",3
150128162,"October 10th, 2013",3
126340495,"March 18th, 2013",3
254906420,"March 4th, 2015",1
99189757,"February 27th, 2012",4
226212066,"March 20th, 2015",1
236557903,"May 16th, 2015",1
164543231,"January 30th, 2014",2
295931968,"October 20th, 2015",1
119410870,"December 27th, 2012",4
124395695,"February 23rd, 2013",3
109278470,"August 17th, 2012",4
92842632,"November 21st, 2011",5
5270060,"April 4th, 2004",12
171847029,"April 5th, 2014",2
148928721,"September 30th, 2013",3
287943546,"September 2nd, 2015",1
99609673,"March 6th, 2012",4
84668956,"July 7th, 2011",5
145904806,"September 7th, 2013",3
164591420,"January 31st, 2014",2
155997063,"November 28th, 2013",3
169358223,"March 13th, 2014",2
162543176,"January 14th, 2014",2
16167221,"June 12th, 2005",11
153290864,"November 5th, 2013",3
150751526,"October 15th, 2013",3
83851086,"June 26th, 2011",5
130280718,"May 5th, 2013",3
246892835,"July 15th, 2015",1
136021775,"July 2nd, 2013",3
211404615,"January 1st, 2015",1
124777563,"February 28th, 2013",3
143459727,"August 20th, 2013",3
57866383,"December 17th, 2009",7
144347801,"August 26th, 2013",3
209193781,"December 23rd, 2014",2
