id,total_hours_played,size,clustering,games_played,user_id,creationDate,years,isMultiplayer
54103616,0.3317229441703052,1,0.5714967203339296,21,54103616,"October 8th, 2009",7,1.0
102825821,0.1515746505799985,1,0.0,79,102825821,"May 6th, 2012",4,1.0
215160630,0.112382773141809,1,1.0,30,215160630,"January 23rd, 2015",1,1.0
131940023,0.3739762833595992,1,1.0,52,131940023,"May 22nd, 2013",3,1.0
107377573,0.2853359857390136,1,1.0,47,107377573,"July 20th, 2012",4,1.0
70970228,0.0333273051386054,1,1.0,5,70970228,"September 29th, 2010",6,0.0
158476996,0.0543054227917431,1,1.0,15,158476996,"December 20th, 2013",3,0.0
8542204,0.0366858707727284,1,1.0,35,8542204,"September 9th, 2004",12,1.0
43360645,0.6497920272818871,1,1.0,104,43360645,"December 5th, 2008",8,1.0
24011187,0.0616942671868137,1,1.0,22,24011187,"August 14th, 2006",10,1.0
11403772,0.7763195287674071,1,1.0,314,11403772,"December 10th, 2004",12,1.0
254814380,0.0035135763556979,1,0.881578947368421,5,254814380,"March 3rd, 2015",1,1.0
211925330,0.1095279923528044,1,0.9830235672830658,3,211925330,"January 4th, 2015",1,1.0
115396529,0.0483504275712403,1,1.0,4,115396529,"November 13th, 2012",4,1.0
65420540,0.0869868499237864,1,0.5810921902524956,19,65420540,"May 20th, 2010",6,1.0
76420334,0.1202366497016044,1,1.0,46,76420334,"January 11th, 2011",5,1.0
39082468,0.3108352494380862,1,1.0,32,39082468,"June 17th, 2008",8,0.0
48239695,0.0574702250238974,1,1.0,6,48239695,"April 1st, 2009",7,0.0
60217594,0.2645774666081071,1,1.0,31,60217594,"January 29th, 2010",6,1.0
87071236,0.4108429999741648,1,1.0,43,87071236,"August 21st, 2011",5,1.0
82020006,0.0252538300565789,1,1.0,17,82020006,"May 23rd, 2011",5,1.0
81585721,0.2239775751156121,1,1.0,67,81585721,"May 14th, 2011",5,1.0
64350600,0.041672048983388,1,1.0,13,64350600,"May 3rd, 2010",6,1.0
107886872,0.0038365153589789,1,1.0,2,107886872,"July 27th, 2012",4,1.0
42928788,0.0746893326788436,1,1.0,49,42928788,"November 23rd, 2008",8,1.0
86338111,0.2025344252977498,1,1.0,31,86338111,"August 9th, 2011",5,1.0
74232403,0.0085385072467512,1,1.0,2,74232403,"December 3rd, 2010",6,1.0
92914917,0.5791975611646467,1,1.0,108,92914917,"November 23rd, 2011",5,1.0
32498610,0.0882786059369106,1,1.0,10,32498610,"September 20th, 2007",9,1.0
49767455,0.4226367323739892,1,0.5810921902524956,23,49767455,"May 17th, 2009",7,1.0
61676491,0.303963107448265,1,1.0,89,61676491,"March 4th, 2010",6,1.0
157469247,0.018601286588989,1,1.0,13,157469247,"December 11th, 2013",3,0.0
122803519,0.0311184023561629,1,1.0,12,122803519,"February 2nd, 2013",3,1.0
49350285,0.1497920272818869,1,0.674074074074074,16,49350285,"May 3rd, 2009",7,1.0
31727716,0.3068437233575322,1,1.0,28,31727716,"August 18th, 2007",9,1.0
117129725,0.0005554550856434,1,1.0,1,117129725,"December 2nd, 2012",4,1.0
242242432,0.0506497532746014,1,1.0,11,242242432,"December 26th, 2014",2,1.0
106760673,0.060376676053427,1,1.0,30,106760673,"July 12th, 2012",4,0.0
142183287,0.0009817345699744,1,1.0,2,142183287,"August 12th, 2013",3,1.0
120725727,0.6843335830728293,1,1.0,6,120725727,"January 9th, 2013",3,1.0
151397156,0.0059291601002402,1,0.5588235294117647,2,151397156,"October 21st, 2013",3,1.0
62317148,0.002828945668742,1,1.0,1,62317148,"March 17th, 2010",6,1.0
138570935,0.0076342780375642,1,1.0,9,138570935,"July 19th, 2013",3,0.0
79411077,0.4547110341798642,1,1.0,22,79411077,"March 22nd, 2011",5,1.0
167106826,0.0022605730229674,1,0.9633449397139652,3,167106826,"February 22nd, 2014",2,1.0
83420834,0.0152556385149972,1,1.0,8,83420834,"June 22nd, 2011",5,1.0
87832209,0.0861730436355181,1,1.0,30,87832209,"September 4th, 2011",5,1.0
57798235,0.2885653757718242,1,1.0,15,57798235,"December 16th, 2009",7,1.0
159777976,0.0011884155320743,1,1.0,1,159777976,"December 26th, 2013",3,1.0
57433226,1.0,1,0.5810921902524956,17,57433226,"December 7th, 2009",7,1.0
174415183,0.0032939778334668,1,1.0,3,174415183,"April 26th, 2014",2,1.0
193156880,0.271875888082259,1,0.780695638701681,44,193156880,"September 6th, 2014",2,1.0
80164199,0.1319787118609037,1,1.0,9,80164199,"April 10th, 2011",5,1.0
131032344,0.0306146175110445,1,1.0,12,131032344,"May 12th, 2013",3,1.0
217709850,0.0006587955666933,1,1.0,4,217709850,"February 6th, 2015",1,1.0
26430231,0.1246286201462267,1,0.9574773053033924,35,26430231,"December 14th, 2006",10,1.0
28064589,0.0119358255612679,1,1.0,11,28064589,"February 22nd, 2007",9,1.0
234108053,0.0183171002661017,1,1.0,13,234108053,"April 30th, 2015",1,1.0
120116659,0.2740977084248328,1,1.0,5,120116659,"January 2nd, 2013",3,1.0
134967717,0.0932260314671765,1,1.0,16,134967717,"June 22nd, 2013",3,1.0
35729292,0.3470819231663524,1,1.0,30,35729292,"January 20th, 2008",8,1.0
35009482,0.087658563050611,1,1.0,17,35009482,"December 26th, 2007",9,1.0
194670621,0.1116335546541969,1,1.0,30,194670621,"September 17th, 2014",2,1.0
211544205,0.0496163484641021,1,1.0,17,211544205,"January 2nd, 2015",1,1.0
80386506,0.0002066809620998,1,1.0,1,80386506,"April 15th, 2011",5,1.0
182422786,0.023819980882011,1,1.0,4,182422786,"June 29th, 2014",2,1.0
31733654,0.2871573617175188,1,1.0,15,31733654,"August 18th, 2007",9,1.0
249232725,0.0623013925129821,1,1.0,16,249232725,"July 28th, 2015",1,1.0
121360145,0.3901103159635208,1,1.0,5,121360145,"January 17th, 2013",3,1.0
297279953,0.0124654455266489,1,1.0,2,297279953,"October 28th, 2015",1,1.0
112110682,0.1197586999767484,1,1.0,22,112110682,"September 26th, 2012",4,1.0
199693353,0.0408065724545947,1,1.0,46,199693353,"October 22nd, 2014",2,1.0
48845802,0.0531557599400625,1,1.0,11,48845802,"April 17th, 2009",7,1.0
48058475,0.1000852558968662,1,1.0,10,48058475,"March 27th, 2009",7,1.0
140954425,0.0016663652569302,1,1.0,1,140954425,"August 2nd, 2013",3,1.0
150128162,0.0054124576949905,1,1.0,1,150128162,"October 10th, 2013",3,1.0
126340495,0.3579197561164647,1,1.0,17,126340495,"March 18th, 2013",3,1.0
254906420,0.0001420931614436,1,1.0,1,254906420,"March 4th, 2015",1,1.0
99189757,0.1401426098638489,1,1.0,1,99189757,"February 27th, 2012",4,1.0
226212066,0.0176066344588834,1,1.0,10,226212066,"March 20th, 2015",1,1.0
236557903,0.0004004443640685,1,1.0,3,236557903,"May 16th, 2015",1,1.0
164543231,0.0273723099181026,1,1.0,11,164543231,"January 30th, 2014",2,1.0
295931968,0.0008396414085307,1,1.0,1,295931968,"October 20th, 2015",1,1.0
119410870,0.0005683726457746,1,1.0,1,119410870,"December 27th, 2012",4,1.0
124395695,0.003733174877929,1,1.0,1,124395695,"February 23rd, 2013",3,1.0
109278470,0.0098044281396129,1,1.0,3,109278470,"August 17th, 2012",4,1.0
92842632,0.0065362854264086,1,1.0,3,92842632,"November 21st, 2011",5,1.0
5270060,0.0020926447412612,1,1.0,5,5270060,"April 4th, 2004",12,1.0
171847029,0.1783140000516702,1,0.9176389842141386,21,171847029,"April 5th, 2014",2,1.0
148928721,0.3514868111711061,1,1.0,12,148928721,"September 30th, 2013",3,1.0
287943546,0.0002325160823623,1,1.0,1,287943546,"September 2nd, 2015",1,1.0
99609673,0.0001162580411811,1,1.0,1,99609673,"March 6th, 2012",4,1.0
84668956,0.0002971038830185,1,1.0,1,84668956,"July 7th, 2011",5,1.0
145904806,0.0001679282817061,1,1.0,1,145904806,"September 7th, 2013",3,1.0
164591420,0.000322939003281,1,1.0,1,164591420,"January 31st, 2014",2,1.0
155997063,0.000374609243806,1,1.0,1,155997063,"November 28th, 2013",3,1.0
169358223,0.0525615521740253,1,1.0,1,169358223,"March 13th, 2014",2,1.0
162543176,0.0071304931924458,1,0.7673637042569081,6,162543176,"January 14th, 2014",2,1.0
16167221,0.1313586689746041,1,1.0,25,16167221,"June 12th, 2005",11,1.0
153290864,9.04229209186969e-05,1,1.0,1,153290864,"November 5th, 2013",3,1.0
150751526,0.114410830082414,1,1.0,49,150751526,"October 15th, 2013",3,1.0
83851086,9.04229209186969e-05,1,1.0,1,83851086,"June 26th, 2011",5,1.0
130280718,0.0233291135970238,1,1.0,15,130280718,"May 5th, 2013",3,1.0
246892835,0.0003487741235435,1,1.0,3,246892835,"July 15th, 2015",1,1.0
136021775,0.0852946495465936,1,1.0,16,136021775,"July 2nd, 2013",3,1.0
211404615,3.875268039372725e-05,1,1.0,1,211404615,"January 1st, 2015",1,1.0
124777563,0.0002583512026248,1,1.0,1,124777563,"February 28th, 2013",3,1.0
143459727,0.0636189836463688,1,0.9830235672830658,7,143459727,"August 20th, 2013",3,1.0
57866383,7.750536078745447e-05,1,1.0,2,57866383,"December 17th, 2009",7,1.0
144347801,0.0681142945720412,1,1.0,12,144347801,"August 26th, 2013",3,1.0
209193781,0.0001291756013124,1,1.0,1,209193781,"December 23rd, 2014",2,1.0
83978676,0.0002971038830185,1,1.0,1,83978676,"June 28th, 2011",5,1.0
286701848,0.0059679127806339,1,1.0,5,286701848,"August 26th, 2015",1,1.0
85614332,0.0067042137081148,1,1.0,1,85614332,"July 24th, 2011",5,1.0
253006481,0.0101919549435502,1,1.0,1,253006481,"August 18th, 2015",1,1.0
183103599,0.041568708502338,1,1.0,3,183103599,"July 3rd, 2014",2,1.0
181321171,0.0033327305138605,1,1.0,2,181321171,"June 22nd, 2014",2,1.0
248255491,0.0093523135350195,1,1.0,2,248255491,"July 23rd, 2015",1,1.0
105796956,0.011354535355362,1,1.0,1,105796956,"June 27th, 2012",4,1.0
80119032,0.0414653680212881,1,1.0,3,80119032,"April 8th, 2011",5,1.0
176743370,0.0004908672849872,1,1.0,2,176743370,"May 17th, 2014",2,1.0
175033323,0.0701423515126463,1,0.6862579199505486,4,175033323,"May 2nd, 2014",2,1.0
176750719,2.5835120262484825e-05,1,1.0,1,176750719,"May 17th, 2014",2,1.0
86686260,0.0019117988994238,1,1.0,4,86686260,"August 15th, 2011",5,1.0
23883383,0.0402769524892138,1,1.0,5,23883383,"August 7th, 2006",10,1.0
236950689,0.0001291756013124,1,1.0,1,236950689,"May 19th, 2015",1,1.0
148976064,0.0001420931614436,1,1.0,1,148976064,"October 1st, 2013",3,1.0
127706455,0.0008267238483995,1,1.0,1,127706455,"April 2nd, 2013",3,1.0
4064412,0.1801482935903067,1,1.0,4,4064412,"February 6th, 2004",12,1.0
251928689,0.0010463223706306,1,1.0,1,251928689,"August 12th, 2015",1,1.0
234838943,0.004637404087116,1,1.0,1,234838943,"May 4th, 2015",1,1.0
81139130,0.0306146175110445,1,1.0,6,81139130,"May 2nd, 2011",5,1.0
262861632,0.1121631746195778,1,1.0,18,262861632,"April 11th, 2015",1,1.0
149291366,0.0031131319916294,1,1.0,3,149291366,"October 3rd, 2013",3,1.0
163137081,0.0060583357015526,1,1.0,1,163137081,"January 18th, 2014",2,1.0
193129684,0.0195830211589635,1,1.0,8,193129684,"September 6th, 2014",2,1.0
103620349,0.0009558994497119,1,1.0,2,103620349,"May 19th, 2012",4,1.0
83813208,0.000322939003281,1,1.0,1,83813208,"June 26th, 2011",5,1.0
130290346,6.458780065621206e-05,1,1.0,1,130290346,"May 4th, 2013",3,1.0
182399789,0.1874983853049836,1,1.0,52,182399789,"June 29th, 2014",2,1.0
178883999,0.0004521146045934,1,0.6862579199505486,2,178883999,"June 4th, 2014",2,1.0
89286594,0.0123362699253365,1,0.986206896551724,5,89286594,"September 25th, 2011",5,0.0
200175559,0.000271268762756,1,1.0,6,200175559,"October 25th, 2014",2,1.0
135177440,0.0350840933164543,1,1.0,4,135177440,"June 24th, 2013",3,1.0
109271976,5.167024052496966e-05,1,1.0,1,109271976,"August 17th, 2012",4,1.0
111456195,0.0082543209238639,1,1.0,1,111456195,"September 16th, 2012",4,1.0
271808456,0.0060583357015526,1,1.0,1,271808456,"June 5th, 2015",1,1.0
238773402,0.0063812747048337,1,1.0,5,238773402,"May 30th, 2015",1,1.0
83751255,0.0193634226367323,1,1.0,2,83751255,"June 26th, 2011",5,1.0
172086978,0.0001291756013124,1,1.0,1,172086978,"April 8th, 2014",2,1.0
96977722,0.0022993257033611,1,1.0,2,96977722,"January 17th, 2012",4,1.0
27417971,0.0572506265016663,1,1.0,2,27417971,"January 23rd, 2007",9,1.0
154281477,0.053982483788462,1,1.0,1,154281477,"November 13th, 2013",3,1.0
86915561,0.0022605730229674,1,1.0,1,86915561,"August 19th, 2011",5,1.0
160427210,0.3650631668690417,1,1.0,23,160427210,"December 29th, 2013",3,1.0
140672677,0.0,1,1.0,1,140672677,"July 31st, 2013",3,1.0
283498338,3.875268039372725e-05,1,1.0,1,283498338,"August 9th, 2015",1,1.0
279734186,3.875268039372725e-05,1,1.0,1,279734186,"July 19th, 2015",1,1.0
137508279,0.0513602190818198,1,1.0,13,137508279,"July 13th, 2013",3,1.0
90362252,0.0004391970444622,1,1.0,1,90362252,"October 16th, 2011",5,1.0
171932001,0.0182008422249205,1,1.0,1,171932001,"April 6th, 2014",2,1.0
146813551,6.458780065621206e-05,1,1.0,1,146813551,"September 13th, 2013",3,1.0
130324181,0.2024310848166998,1,0.780695638701681,23,130324181,"May 4th, 2013",3,1.0
30036927,0.3441883896969541,1,1.0,2,30036927,"June 5th, 2007",9,1.0
172666220,0.0596920453664711,1,1.0,14,172666220,"April 12th, 2014",2,1.0
106170243,0.028031105484796,1,1.0,15,106170243,"July 3rd, 2012",4,1.0
97017439,0.0134213449763608,1,1.0,1,97017439,"January 19th, 2012",4,1.0
126471719,0.1691812850388818,1,0.780695638701681,10,126471719,"March 19th, 2013",3,1.0
169061944,0.0022864081432299,1,1.0,1,169061944,"March 11th, 2014",2,1.0
146999982,0.0059291601002402,1,1.0,6,146999982,"September 15th, 2013",3,0.0
67628444,0.0024672539850673,1,1.0,5,67628444,"July 20th, 2010",6,0.0
287668512,0.0119874958017929,1,1.0,2,287668512,"August 31st, 2015",1,1.0
215833301,0.0321001369261374,1,1.0,2,215833301,"January 27th, 2015",1,1.0
204829406,0.0001550107215749,1,1.0,1,204829406,"November 26th, 2014",2,1.0
82174211,0.2135272689694371,1,1.0,22,82174211,"May 27th, 2011",5,1.0
85547059,0.0002841863228873,1,1.0,1,85547059,"July 23rd, 2011",5,1.0
181297952,0.0017826232981114,1,1.0,1,181297952,"June 22nd, 2014",2,1.0
202598205,0.0664866819955046,1,1.0,6,202598205,"November 11th, 2014",2,1.0
41089194,0.0005425375255121,1,1.0,1,41089194,"September 20th, 2008",8,1.0
289524714,0.0004908672849872,1,1.0,1,289524714,"September 11th, 2015",1,1.0
171452409,1.2917560131242414e-05,1,1.0,1,171452409,"April 1st, 2014",2,1.0
173051184,2.5835120262484825e-05,1,1.0,1,173051184,"April 15th, 2014",2,1.0
74811317,0.0001679282817061,1,1.0,1,74811317,"December 16th, 2010",6,1.0
103373255,0.0039915260805539,1,1.0,1,103373255,"May 15th, 2012",4,1.0
23492094,0.6906631875371378,1,1.0,45,23492094,"July 15th, 2006",10,1.0
